1638144000000,57274.89000000,58000.15000000,57136.56000000,57765.73000000,3073.53448000,1638147599999,176976329.61075370,92755,1579.20674000,90923654.50569600,0
1638147600000,57765.73000000,58242.09000000,57501.99000000,57639.76000000,2729.83473000,1638151199999,157733986.70571530,80510,1411.72786000,81579162.20594400,0
1638151200000,57643.14000000,57715.42000000,57269.72000000,57309.25000000,1769.14605000,1638154799999,101764637.80337530,60233,832.80233000,47904900.99949830,0
1638154800000,57309.26000000,57426.95000000,57176.00000000,57359.02000000,1648.17893000,1638158399999,94468428.85280720,50675,856.76286000,49106122.90257510,0
1638158400000,57359.02000000,57642.93000000,57232.00000000,57249.58000000,1358.97577000,1638161999999,78030794.91262730,40955,668.78889000,38405512.21258930,0
1638162000000,57249.58000000,57384.99000000,57200.00000000,57325.75000000,801.75118000,1638165599999,45923126.52463010,36158,389.36542000,22302271.84312510,0
1638165600000,57325.76000000,57500.63000000,57309.65000000,57426.91000000,1002.85200000,1638169199999,57574342.97713250,40984,516.66817000,29661806.38293710,0
1638169200000,57426.92000000,57688.00000000,57390.00000000,57515.13000000,1047.26743000,1638172799999,60268727.54966190,45437,565.01608000,32517688.66791620,0
1638172800000,57512.17000000,57642.85000000,57167.14000000,57250.09000000,1016.75223000,1638176399999,58311432.18727400,42445,471.05412000,27019265.12272030,0
1638176400000,57250.09000000,57400.00000000,56666.67000000,56871.48000000,1680.13956000,1638179999999,95816149.35780560,60148,756.20705000,43113091.86148750,0
1638180000000,56871.48000000,57387.87000000,56800.00000000,57170.50000000,1569.16190000,1638183599999,89543065.46509640,52226,861.68589000,49167809.84819380,0
1638183600000,57170.49000000,57300.00000000,56861.82000000,56883.29000000,1116.22353000,1638187199999,63723134.47854120,41768,473.42771000,27030161.78442350,0
1638187200000,56883.29000000,57100.00000000,56850.00000000,56900.01000000,1089.55474000,1638190799999,62065821.31812790,36638,509.81798000,29041282.75765130,0
1638190800000,56900.01000000,57500.00000000,56860.00000000,57293.88000000,2107.54097000,1638194399999,120579822.02161200,66749,1073.97416000,61464457.76362580,0
1638194400000,57293.87000000,57430.00000000,56931.92000000,57031.09000000,1233.61584000,1638197999999,70488620.82536360,47980,556.08594000,31786918.94819360,0
1638198000000,57031.09000000,57140.00000000,56799.21000000,57125.93000000,1264.98031000,1638201599999,72046187.47915970,46701,607.97481000,34635351.69488590,0
1638201600000,57125.93000000,57492.32000000,57000.01000000,57467.80000000,1508.57424000,1638205199999,86317654.15548560,52635,793.65382000,45415809.71027610,0
1638205200000,57467.79000000,58776.98000000,57407.26000000,58621.72000000,5092.74673000,1638208799999,296936798.76490620,133408,2170.24215000,126507910.06081980,0
1638208800000,58621.73000000,58865.97000000,58479.79000000,58633.12000000,1676.96101000,1638212399999,98345873.79808360,58002,901.86967000,52899355.54452780,0
1638212400000,58633.12000000,58654.55000000,57777.14000000,57880.67000000,2189.10131000,1638215999999,127392422.76365820,67616,1028.02889000,59801237.73054890,0
1638216000000,57880.67000000,58249.99000000,57703.57000000,58038.63000000,1210.67577000,1638219599999,70219973.06439890,43703,615.06620000,35672221.28667150,0
1638219600000,58034.21000000,58400.00000000,57987.82000000,58247.18000000,1430.54047000,1638223199999,83292619.71666170,46921,618.01561000,35984089.11697950,0
1638223200000,58247.17000000,58353.01000000,58020.25000000,58048.28000000,1303.51091000,1638226799999,75860631.88713010,62571,638.43524000,37152628.35920110,0
1638226800000,58048.27000000,58099.64000000,57667.00000000,57776.25000000,1203.66000000,1638230399999,69690765.89353510,42407,624.37279000,36148273.24176410,0
