1639353600000,50053.90000000,50189.97000000,49540.00000000,49630.66000000,1333.10089000,1639357199999,66435596.14833600,43114,673.72125000,33573876.06466680,0
1639357200000,49630.66000000,49630.66000000,48557.73000000,48597.51000000,2701.53721000,1639360799999,132673100.47876820,67080,1156.22205000,56793976.35766650,0
1639360800000,48597.51000000,48930.56000000,48430.13000000,48770.42000000,1537.92901000,1639364399999,74913208.59321150,41383,753.98756000,36741936.90352840,0
1639364400000,48770.42000000,49076.74000000,48691.08000000,48873.19000000,1053.46168000,1639367999999,51481913.55399190,33377,476.66884000,23297913.47525690,0
1639368000000,48873.20000000,49100.00000000,48751.96000000,49025.08000000,783.08517000,1639371599999,38314625.51802990,26616,372.29538000,18215428.14261960,0
1639371600000,49026.65000000,49350.90000000,48851.47000000,49238.03000000,1076.26977000,1639375199999,52840806.59269750,32537,564.16201000,27694622.45263090,0
1639375200000,49238.03000000,49304.00000000,48872.46000000,48936.88000000,905.81189000,1639378799999,44461701.56463530,33093,410.78906000,20166719.89379030,0
1639378800000,48936.88000000,48995.94000000,48554.77000000,48740.01000000,1284.61901000,1639382399999,62664981.19566980,41664,630.04382000,30736065.28087630,0
1639382400000,48740.01000000,49171.57000000,48145.00000000,49015.00000000,1996.57085000,1639385999999,97421547.55256070,56490,971.73561000,47441187.76900730,0
1639386000000,49015.00000000,49035.87000000,48700.89000000,48859.29000000,863.05186000,1639389599999,42156179.36458500,31946,397.25089000,19402913.02469820,0
1639389600000,48859.29000000,48909.35000000,48502.00000000,48688.03000000,818.76152000,1639393199999,39878802.11398420,32086,355.58336000,17321459.43527290,0
1639393200000,48688.03000000,48904.90000000,48560.85000000,48847.26000000,862.51194000,1639396799999,42058151.28131490,34661,438.35626000,21377030.04607090,0
1639396800000,48845.00000000,49000.00000000,48530.32000000,48588.51000000,1047.54794000,1639400399999,51095684.09524100,39996,495.31731000,24161669.45947320,0
1639400400000,48588.51000000,48644.35000000,48149.63000000,48420.97000000,1598.26464000,1639403999999,77393458.80969050,53210,770.54472000,37311654.90167230,0
1639404000000,48420.97000000,48426.20000000,47700.81000000,47958.62000000,2860.91865000,1639407599999,137230993.11883600,82312,1326.80075000,63644088.24416210,0
1639407600000,47960.09000000,47960.69000000,47012.03000000,47252.02000000,4018.43951000,1639411199999,190658785.58904420,101659,1732.21388000,82176667.87636870,0
1639411200000,47252.02000000,47559.37000000,46653.00000000,47141.41000000,4670.06575000,1639414799999,220046984.59381400,115251,2138.30995000,100772205.74598910,0
1639414800000,47141.41000000,47932.19000000,47070.01000000,47513.15000000,2916.45194000,1639418399999,138556532.33274620,71602,1356.42774000,64472467.01208540,0
1639418400000,47513.16000000,47684.55000000,47305.00000000,47444.56000000,1045.85113000,1639421999999,49668469.52720460,39345,483.92932000,22983376.95275060,0
1639422000000,47444.55000000,47444.55000000,45672.75000000,46739.36000000,9568.79079000,1639425599999,443338108.75062750,192657,4039.09141000,187270731.43029220,0
1639425600000,46739.35000000,46974.91000000,46342.69000000,46659.99000000,3158.43506000,1639429199999,147452480.49289120,78823,1626.65362000,75953230.60874030,0
1639429200000,46660.00000000,46900.00000000,46214.13000000,46791.74000000,1815.30642000,1639432799999,84516505.13841590,53793,841.77869000,39192197.14508760,0
1639432800000,46791.74000000,47288.19000000,46677.43000000,46889.28000000,1754.38097000,1639436399999,82531560.16872800,58512,889.70140000,41860425.99045540,0
1639436400000,46887.34000000,47059.55000000,46555.01000000,46702.75000000,1198.35733000,1639439999999,56098324.21528100,38392,585.43792000,27410404.32524030,0
