1633737600000,53955.67000000,54298.35000000,53661.67000000,54264.17000000,1621.97337000,1633741199999,87642610.88504430,47895,731.16734000,39522333.41507950,0
1633741200000,54264.16000000,54307.71000000,53849.99000000,54007.55000000,1094.61868000,1633744799999,59140424.58573850,34702,516.67505000,27907711.05818690,0
1633744800000,54007.55000000,54197.76000000,53841.41000000,54156.38000000,854.51852000,1633748399999,46173825.32651410,36972,423.55307000,22889395.84808650,0
1633748400000,54156.38000000,54699.00000000,54110.00000000,54560.58000000,1314.06614000,1633751999999,71581069.20439440,39250,730.86132000,39811798.23015460,0
1633752000000,54562.58000000,54730.28000000,54479.23000000,54684.62000000,1006.31654000,1633755599999,54971025.57078040,28286,485.69839000,26531605.19743950,0
1633755600000,54684.63000000,54741.09000000,54384.27000000,54597.78000000,865.60336000,1633759199999,47191931.48222910,28352,355.69853000,19393152.21345770,0
1633759200000,54597.78000000,55100.00000000,54590.15000000,54837.89000000,2003.32793000,1633762799999,109989419.07113060,59039,1114.03665000,61177965.40408120,0
1633762800000,54837.90000000,55050.00000000,54715.75000000,54917.55000000,970.95476000,1633766399999,53284698.74539320,37886,505.75388000,27754296.47085440,0
1633766400000,54917.56000000,55062.11000000,54523.23000000,54728.45000000,1225.19345000,1633769999999,67120913.20659200,39436,635.66625000,34833252.61528760,0
1633770000000,54728.45000000,54919.59000000,54490.55000000,54907.45000000,2493.93592000,1633773599999,136407227.37961530,65365,1252.38393000,68503384.84133140,0
1633773600000,54907.45000000,55007.97000000,54566.31000000,54888.99000000,2944.30702000,1633777199999,161279909.48714730,89133,1436.80930000,78706806.12562100,0
1633777200000,54888.99000000,55340.30000000,54779.20000000,54792.68000000,4217.11016000,1633780799999,231931602.59481890,119348,2231.40536000,122739213.40439850,0
1633780800000,54792.68000000,55166.44000000,54792.68000000,54979.26000000,3254.56135000,1633784399999,179058701.56281870,95790,1679.13555000,92382090.62942480,0
1633784400000,54979.26000000,55489.00000000,54926.49000000,55242.20000000,3718.19297000,1633787999999,205107358.98890560,111242,1918.67148000,105846222.34298650,0
1633788000000,55242.19000000,55314.20000000,55045.88000000,55136.84000000,3125.41030000,1633791599999,172404191.94295640,91652,1572.65325000,86750385.72015110,0
1633791600000,55136.83000000,55177.05000000,54867.20000000,54977.29000000,2876.45899000,1633795199999,158322018.77813700,82066,1374.18700000,75640007.57621520,0
1633795200000,54977.29000000,55125.00000000,54674.07000000,54801.16000000,3589.04020000,1633798799999,197031763.01591620,96204,1723.28672000,94612496.58021150,0
1633798800000,54801.15000000,54945.73000000,54726.19000000,54914.05000000,2553.83136000,1633802399999,140108589.35476790,73400,1282.45733000,70358539.28166110,0
1633802400000,54914.05000000,55149.96000000,54738.66000000,54900.00000000,3042.43959000,1633805999999,166879122.70955480,79194,1507.95448000,82714557.51697370,0
1633806000000,54897.24000000,54964.52000000,54592.21000000,54656.81000000,2258.70824000,1633809599999,123756039.66176900,60028,1124.87351000,61635408.37320800,0
1633809600000,54656.81000000,54669.59000000,54323.00000000,54663.83000000,2883.04813000,1633813199999,157080670.21892430,82521,1403.19009000,76449995.59690090,0
1633813200000,54663.83000000,54863.18000000,54550.01000000,54848.94000000,2349.12749000,1633816799999,128510315.82997670,73880,1190.25171000,65115008.33114500,0
1633816800000,54848.94000000,54969.12000000,54752.71000000,54896.41000000,2189.01645000,1633820399999,120053194.44165550,60888,1102.42073000,60460522.24069850,0
1633820400000,54896.39000000,55165.00000000,54837.99000000,54949.72000000,2725.31921000,1633823999999,149836166.65081230,76954,1387.95657000,76308191.19541380,0
