1506729600000,4175.00000000,4179.99000000,4138.10000000,4169.91000000,20.18084300,1506733199999,83895.78172903,297,5.06890100,21117.17102530,0
1506733200000,4169.67000000,4230.00000000,4162.02000000,4200.00000000,44.40947800,1506736799999,186429.81214597,346,22.91613900,96301.14345090,0
1506736800000,4200.00000000,4227.02000000,4186.90000000,4220.00000000,17.49774500,1506740399999,73525.32611028,340,5.92850600,24973.27922708,0
1506740400000,4220.00000000,4298.00000000,4186.79000000,4214.00000000,41.23906500,1506743999999,173946.21761952,442,20.62741400,87252.43249968,0
1506744000000,4216.01000000,4263.86000000,4180.81000000,4200.00000000,44.76936900,1506747599999,188593.77385133,646,14.44522500,60996.83666313,0
1506747600000,4190.12000000,4256.79000000,4185.02000000,4256.22000000,34.52091200,1506751199999,145453.12764491,494,12.15962400,51307.96607129,0
1506751200000,4256.22000000,4299.00000000,4230.00000000,4280.00000000,40.78728600,1506754799999,174154.01078579,416,14.98009700,64035.89962044,0
1506754800000,4280.00000000,4300.00000000,4275.10000000,4300.00000000,49.76850600,1506758399999,213671.24606237,441,32.32989500,138949.03699302,0
1506758400000,4310.00000000,4344.90000000,4290.00000000,4290.00000000,28.90404500,1506761999999,124463.48948615,439,6.49145700,28063.14973422,0
1506762000000,4290.00000000,4319.00000000,4266.11000000,4296.00000000,21.06337200,1506765599999,90462.47269338,395,5.13747400,22104.98177233,0
1506765600000,4280.00000000,4345.00000000,4266.12000000,4340.00000000,32.07625100,1506769199999,138206.39120447,481,15.90502300,68611.95690094,0
1506769200000,4340.00000000,4340.00000000,4301.09000000,4324.99000000,27.03995900,1506772799999,117044.96294967,416,10.85058700,47016.77653855,0
1506772800000,4320.21000000,4332.00000000,4305.04000000,4306.00000000,21.04390700,1506776399999,90813.89140917,326,4.30323600,18594.51683584,0
1506776400000,4306.00000000,4322.19000000,4280.00000000,4297.32000000,25.23149500,1506779999999,108602.19944847,443,5.93939100,25610.47222101,0
1506780000000,4286.82000000,4329.50000000,4275.35000000,4322.58000000,27.60609300,1506783599999,119036.67284873,275,9.67766100,41791.21497691,0
1506783600000,4315.23000000,4358.99000000,4315.08000000,4353.98000000,45.20934200,1506787199999,196305.55194143,471,22.95320100,99718.16797496,0
1506787200000,4349.00000000,4349.00000000,4307.50000000,4310.20000000,49.84307000,1506790799999,215748.55403391,558,19.68670200,85373.29779360,0
1506790800000,4311.66000000,4339.86000000,4307.51000000,4318.07000000,25.25687300,1506794399999,109119.93990905,442,4.22959400,18324.55980647,0
1506794400000,4329.96000000,4380.00000000,4312.88000000,4359.87000000,42.28087200,1506797999999,183806.97069221,356,29.71181800,129269.91828615,0
1506798000000,4359.87000000,4371.00000000,4335.14000000,4368.98000000,13.23742100,1506801599999,57663.21383149,262,6.99385400,30514.70793173,0
1506801600000,4343.18000000,4371.99000000,4330.18000000,4336.00000000,17.32896500,1506805199999,75450.92966317,272,2.69713900,11768.19282316,0
1506805200000,4335.99000000,4371.34000000,4317.88000000,4317.88000000,15.42302300,1506808799999,66902.63965232,244,5.17042800,22458.73757146,0
1506808800000,4318.00000000,4377.00000000,4310.25000000,4360.00000000,14.45177500,1506812399999,62767.92349452,246,6.30173800,27465.95323514,0
1506812400000,4360.00000000,4379.95000000,4321.68000000,4378.51000000,21.18351600,1506815999999,92289.30163802,276,8.46158900,36919.85257663,0
