1685318400000,28065.01000000,28447.14000000,28065.00000000,28192.53000000,5865.77291000,1685321999999,165819639.51887620,88101,3071.03271000,86810761.50643180,0
1685322000000,28192.52000000,28214.68000000,28133.71000000,28166.57000000,2156.43484000,1685325599999,60764758.45743710,33686,1173.92487000,33080883.42914690,0
1685325600000,28166.57000000,28179.00000000,28096.00000000,28096.01000000,1428.54515000,1685329199999,40192319.01741980,29552,599.80694000,16875945.06347000,0
1685329200000,28096.01000000,28134.25000000,27914.28000000,27954.99000000,2727.71419000,1685332799999,76526512.04820010,45031,1127.29129000,31629453.30581500,0
1685332800000,27954.99000000,28004.41000000,27854.00000000,27947.07000000,2298.30663000,1685336399999,64166929.12194870,40507,1068.63302000,29839484.41523720,0
1685336400000,27947.07000000,28047.01000000,27938.36000000,27990.72000000,1494.37831000,1685339999999,41830586.00876780,29990,722.21360000,20214863.69089630,0
1685340000000,27990.71000000,28037.28000000,27982.59000000,28002.49000000,1003.44480000,1685343599999,28102813.67977190,25813,437.18898000,12243901.67519060,0
1685343600000,28002.49000000,28002.55000000,27841.00000000,27907.87000000,1855.23496000,1685347199999,51768378.29240120,35888,864.88253000,24132647.64762760,0
1685347200000,27907.86000000,27945.00000000,27846.72000000,27900.61000000,1186.17515000,1685350799999,33101379.58860000,22564,495.17073000,13817800.73629010,0
1685350800000,27900.60000000,27944.77000000,27857.22000000,27939.95000000,907.58650000,1685354399999,25328298.03045210,20889,452.78830000,12636125.62768830,0
1685354400000,27939.96000000,27971.01000000,27745.78000000,27857.59000000,1871.39317000,1685357999999,52156091.43326000,35540,862.83276000,24041163.38096830,0
1685358000000,27857.60000000,27936.53000000,27842.93000000,27913.87000000,1062.90718000,1685361599999,29645589.12346610,23198,542.60590000,15132890.97642060,0
1685361600000,27913.87000000,27949.70000000,27862.92000000,27876.98000000,972.08024000,1685365199999,27117358.71077660,22344,429.52238000,11982052.63596680,0
1685365200000,27876.98000000,27944.13000000,27862.44000000,27903.12000000,1134.13561000,1685368799999,31644056.42451370,26330,530.91429000,14812326.57540730,0
1685368800000,27903.12000000,27932.53000000,27699.00000000,27787.77000000,2069.21576000,1685372399999,57575158.11291230,38787,901.26710000,25075677.84053030,0
1685372400000,27787.77000000,27841.94000000,27588.00000000,27630.51000000,3367.56031000,1685375999999,93244777.46968050,62076,1537.32238000,42567631.12546680,0
1685376000000,27630.50000000,27673.64000000,27545.53000000,27597.24000000,3363.29117000,1685379599999,92840577.78173450,52783,1448.25912000,39981797.21277580,0
1685379600000,27597.24000000,27737.99000000,27524.60000000,27689.14000000,2206.10680000,1685383199999,60968966.82934120,39363,1125.75222000,31117267.88872810,0
1685383200000,27689.14000000,27719.02000000,27612.36000000,27635.45000000,1185.41365000,1685386799999,32800280.19778490,23917,565.54205000,15647054.04818000,0
1685386800000,27635.46000000,27706.62000000,27621.51000000,27637.94000000,847.85027000,1685390399999,23457163.25054190,21345,459.34115000,12709139.68390630,0
1685390400000,27637.94000000,27697.70000000,27627.81000000,27682.77000000,620.80317000,1685393999999,17174531.81401680,18019,341.64791000,9451576.20548790,0
1685394000000,27682.78000000,27724.72000000,27650.00000000,27666.70000000,548.09133000,1685397599999,15173949.92818910,18263,278.47012000,7709532.42144130,0
1685397600000,27666.70000000,27693.33000000,27554.57000000,27689.22000000,1053.68751000,1685401199999,29103210.93065220,25370,577.08741000,15938570.29613170,0
1685401200000,27689.22000000,27818.00000000,27681.76000000,27736.40000000,1159.28984000,1685404799999,32175255.86392440,26223,586.35555000,16273536.26998910,0
