1640736000000,47543.74000000,47851.92000000,47450.01000000,47770.12000000,1052.52366000,1640739599999,50175324.47493340,38811,522.18505000,24895771.99760850,0
1640739600000,47770.11000000,47973.90000000,47691.76000000,47735.13000000,1102.03536000,1640743199999,52727669.41462100,34265,532.39267000,25474101.20948350,0
1640743200000,47735.13000000,48046.02000000,47659.06000000,47987.57000000,1430.83279000,1640746799999,68526865.96064890,33691,600.68593000,28769410.76999220,0
1640746800000,47989.91000000,48139.08000000,47895.18000000,48001.01000000,1290.96759000,1640750399999,61993861.63924810,38358,610.41813000,29310460.04103780,0
1640750400000,48001.01000000,48056.28000000,47767.44000000,47780.00000000,1155.15633000,1640753999999,55353342.60089640,31722,515.19201000,24688205.19352810,0
1640754000000,47780.00000000,47914.93000000,47750.00000000,47898.65000000,891.54873000,1640757599999,42650964.15257520,27613,411.06886000,19664905.95009420,0
1640757600000,47898.64000000,47981.24000000,47748.00000000,47851.90000000,776.08095000,1640761199999,37172210.45810190,26488,391.47244000,18751121.97585580,0
1640761200000,47851.90000000,47872.14000000,47522.89000000,47570.03000000,1045.12364000,1640764799999,49808887.15991400,34392,508.59499000,24235598.34340350,0
1640764800000,47570.03000000,47839.63000000,47505.00000000,47722.20000000,1177.77960000,1640768399999,56177553.69503940,33251,603.43000000,28781303.74190280,0
1640768400000,47722.19000000,48092.10000000,47398.46000000,47936.20000000,2298.02924000,1640771999999,109682404.43094380,48936,1271.48069000,60731295.27623220,0
1640772000000,47936.20000000,47984.88000000,47600.00000000,47696.80000000,1292.49974000,1640775599999,61798611.68660390,37399,593.02228000,28352062.76782360,0
1640775600000,47696.79000000,47760.00000000,47500.37000000,47737.95000000,1092.75996000,1640779199999,52050004.76036010,37782,578.30517000,27547090.73517160,0
1640779200000,47737.96000000,47777.77000000,46661.00000000,46824.23000000,4248.68643000,1640782799999,199655537.20958690,110867,1877.74973000,88231752.68453930,0
1640782800000,46824.23000000,47458.92000000,46586.62000000,47402.65000000,2455.36215000,1640786399999,115318332.25384740,71928,1319.22393000,61985677.53848760,0
1640786400000,47402.65000000,47888.92000000,47239.60000000,47826.00000000,3243.86459000,1640789999999,154479066.02862770,70884,1846.07011000,87918240.15978190,0
1640790000000,47826.00000000,48030.05000000,47721.71000000,47959.36000000,2180.51068000,1640793599999,104397186.68020040,51925,1095.65500000,52460098.53530920,0
1640793600000,47959.36000000,48038.92000000,47603.00000000,47727.43000000,1474.70054000,1640797199999,70493304.22638740,43847,723.98080000,34602764.69005840,0
1640797200000,47727.44000000,47737.33000000,47472.92000000,47554.91000000,1074.53226000,1640800799999,51167524.25758570,40663,490.85041000,23375995.48990680,0
1640800800000,47554.91000000,47769.01000000,47393.36000000,47531.47000000,1146.30078000,1640804399999,54554592.59395070,35400,516.67572000,24590347.70803290,0
1640804400000,47531.47000000,47549.93000000,47024.27000000,47148.61000000,1502.36620000,1640807999999,71017420.69363650,42932,678.52541000,32073588.14983700,0
1640808000000,47148.62000000,47709.20000000,47079.27000000,47369.97000000,1190.17644000,1640811599999,56471795.28547700,43646,589.67645000,27974278.49081020,0
1640811600000,47369.97000000,47396.66000000,47053.88000000,47230.00000000,1207.14071000,1640815199999,56995307.28549900,41125,611.01510000,28845861.95772390,0
1640815200000,47230.00000000,47488.38000000,47100.00000000,47274.61000000,859.77657000,1640818799999,40649929.31117020,33171,442.65907000,20926256.43551510,0
1640818800000,47274.61000000,47383.92000000,46096.99000000,46464.66000000,4310.11506000,1640822399999,200467875.01344160,104978,1759.28915000,81783505.80040370,0
