1644451200000,44372.71000000,44400.00000000,44030.10000000,44103.29000000,1611.55153000,1644454799999,71139903.41939110,44481,778.68927000,34375587.17867270,0
1644454800000,44103.29000000,44261.25000000,44028.57000000,44253.22000000,1054.58247000,1644458399999,46588451.84373570,29338,491.76256000,21724053.65461240,0
1644458400000,44253.23000000,44360.00000000,43800.00000000,43800.01000000,1402.61623000,1644461999999,61922069.29726420,41564,538.02235000,23756646.12322160,0
1644462000000,43800.00000000,43858.41000000,43542.14000000,43775.42000000,1288.67942000,1644465599999,56324983.15388570,37201,561.32064000,24539227.00712430,0
1644465600000,43775.42000000,43911.57000000,43575.22000000,43783.82000000,942.91797000,1644469199999,41249142.42892690,28977,436.66937000,19106543.00007110,0
1644469200000,43784.72000000,43906.30000000,43703.78000000,43879.78000000,584.94538000,1644472799999,25631434.91139240,21949,299.93855000,13142526.41011850,0
1644472800000,43879.78000000,43997.18000000,43757.57000000,43874.66000000,998.48493000,1644476399999,43816755.20824090,34000,400.56487000,17579428.34145760,0
1644476400000,43874.67000000,44131.60000000,43856.46000000,44092.42000000,820.38215000,1644479999999,36082354.87054390,31672,404.92141000,17810565.30778380,0
1644480000000,44092.43000000,44299.45000000,44055.86000000,44215.00000000,1096.54043000,1644483599999,48447332.85895740,34758,543.59493000,24018340.96401940,0
1644483600000,44215.00000000,44499.00000000,44091.98000000,44400.01000000,1297.63381000,1644487199999,57491651.18463960,42596,595.89230000,26412579.16475740,0
1644487200000,44400.00000000,44759.55000000,44361.36000000,44644.36000000,1853.01909000,1644490799999,82608552.79353620,54425,944.76925000,42118722.44149030,0
1644490800000,44644.74000000,45177.96000000,44563.23000000,44834.09000000,3007.64984000,1644494399999,135005857.01315300,82429,1638.06724000,73538507.86364680,0
1644494400000,44834.09000000,44989.79000000,44486.43000000,44807.73000000,2469.95558000,1644497999999,110543237.96288670,60465,1252.14637000,56043253.23348260,0
1644498000000,44807.73000000,45060.00000000,43630.01000000,43642.98000000,7767.01840000,1644501599999,342459029.76092210,145726,3436.09193000,151700115.99869140,0
1644501600000,43642.98000000,44368.63000000,43174.01000000,44356.08000000,5920.25871000,1644505199999,258188649.34846980,119353,3159.73825000,137922225.79030550,0
1644505200000,44354.92000000,45669.71000000,44154.59000000,44947.10000000,8812.36337000,1644508799999,396740349.93590910,208065,4851.19109000,218375702.84200720,0
1644508800000,44947.12000000,45540.75000000,44846.59000000,45382.86000000,4524.72035000,1644512399999,204663656.51306030,88916,2101.93926000,95057563.40949960,0
1644512400000,45382.86000000,45821.00000000,45013.31000000,45330.43000000,3832.52997000,1644515999999,174088353.70988300,96945,1808.20276000,82180687.44145410,0
1644516000000,45330.43000000,45400.00000000,44850.00000000,45217.94000000,2455.79227000,1644519599999,110741029.11305200,59421,1152.78321000,51988928.45234750,0
1644519600000,45218.18000000,45254.95000000,44341.07000000,44373.97000000,2568.06418000,1644523199999,114762394.93616860,68377,1165.36820000,52076897.93478370,0
1644523200000,44373.95000000,44601.14000000,43785.93000000,44102.40000000,3300.10206000,1644526799999,145717877.30086070,75820,1637.08501000,72304320.50090000,0
1644526800000,44102.41000000,44199.99000000,43700.00000000,43749.99000000,1740.89989000,1644530399999,76549685.63324680,45979,741.91372000,32638885.73819090,0
1644530400000,43749.30000000,44079.45000000,43612.60000000,43957.59000000,1185.74044000,1644533999999,51962399.85820570,45831,551.57316000,24173936.16465570,0
1644534000000,43957.58000000,44047.61000000,43333.42000000,43495.44000000,1820.84244000,1644537599999,79463220.16645120,43195,830.87675000,36286650.90442620,0
