1662940800000,21826.87000000,21855.51000000,21632.89000000,21637.99000000,14759.33137000,1662944399999,321009957.81021300,276303,6944.67051000,151053784.18513900,0
1662944400000,21638.38000000,22374.00000000,21569.10000000,22044.29000000,26039.43365000,1662947999999,571839790.76032150,507301,13984.63634000,307124587.87826710,0
1662948000000,22044.75000000,22101.47000000,21659.26000000,21768.53000000,25541.64916000,1662951599999,557631381.51662270,397072,13021.47046000,284268376.65711100,0
1662951600000,21769.77000000,21833.61000000,21538.51000000,21656.87000000,19347.97010000,1662955199999,419663886.49333130,324991,9847.69550000,213609447.56195190,0
1662955200000,21656.43000000,21749.00000000,21627.34000000,21715.19000000,12078.71807000,1662958799999,262001010.21178470,209861,6267.71557000,135955939.09684730,0
1662958800000,21714.49000000,21793.13000000,21671.23000000,21785.59000000,12506.23481000,1662962399999,271870274.90346760,196899,6344.25343000,137917502.09476770,0
1662962400000,21785.59000000,21847.82000000,21699.20000000,21818.89000000,13505.53762000,1662965999999,294061959.88816530,213332,6738.49867000,146729255.62762640,0
1662966000000,21817.99000000,22232.09000000,21802.00000000,22193.64000000,25815.47700000,1662969599999,568747542.56431530,403007,13356.24480000,294256742.34045730,0
1662969600000,22195.78000000,22328.90000000,22111.52000000,22228.44000000,22996.53055000,1662973199999,510963663.66484250,379644,11523.75118000,256075297.71317340,0
1662973200000,22227.66000000,22258.91000000,22122.30000000,22167.34000000,15921.62201000,1662976799999,353471021.23469430,279668,7638.61336000,169589434.80464700,0
1662976800000,22167.34000000,22222.08000000,21970.43000000,22154.46000000,16864.98566000,1662980399999,372897957.86082240,318221,8296.79273000,183482678.58087140,0
1662980400000,22154.46000000,22472.68000000,22102.61000000,22312.75000000,21748.21608000,1662983999999,484562510.43605990,371896,10819.23912000,241015811.51873370,0
1662984000000,22313.57000000,22424.69000000,22202.21000000,22355.25000000,18180.95669000,1662987599999,405774586.88290070,320380,9240.98593000,206276814.19858100,0
1662987600000,22355.25000000,22467.35000000,22277.24000000,22394.96000000,17729.53910000,1662991199999,396220506.07251700,333728,9069.47217000,202695052.12138930,0
1662991200000,22394.96000000,22488.00000000,22293.88000000,22316.39000000,16655.20439000,1662994799999,372830457.55780810,320956,8144.39588000,182322214.77924360,0
1662994800000,22316.40000000,22347.00000000,22000.00000000,22114.50000000,18209.48069000,1662998399999,404666856.62786020,362247,8927.82320000,198397546.04000940,0
1662998400000,22112.59000000,22273.59000000,22010.96000000,22217.41000000,16320.47272000,1663001999999,361603107.43626230,339379,8205.31669000,181815349.02459400,0
1663002000000,22218.23000000,22385.70000000,22137.43000000,22355.80000000,14466.63758000,1663005599999,322096382.63039300,250517,7344.67212000,163545765.39549890,0
1663005600000,22355.80000000,22415.00000000,22270.00000000,22398.91000000,14180.08909000,1663009199999,316725482.61800180,239985,7132.49902000,159323001.18892910,0
1663009200000,22397.23000000,22454.00000000,22356.77000000,22426.08000000,12385.70363000,1663012799999,277545196.78665530,216687,6308.66275000,141372894.18479360,0
1663012800000,22428.25000000,22480.71000000,22363.11000000,22402.97000000,11242.35144000,1663016399999,251931467.18907120,190017,5667.77307000,127014697.99374740,0
1663016400000,22402.97000000,22429.00000000,22252.37000000,22337.28000000,8250.67838000,1663019999999,184304381.83821300,170455,3942.61482000,88073243.06177940,0
1663020000000,22337.28000000,22405.29000000,22259.44000000,22323.50000000,10963.92393000,1663023599999,244821243.10560960,189660,5699.87243000,127282545.27176000,0
1663023600000,22323.50000000,22404.00000000,22311.13000000,22395.74000000,9684.87456000,1663027199999,216522056.75178540,167333,5021.87085000,112281078.88377520,0
