1531353600000,6378.07000000,6380.28000000,6346.00000000,6361.92000000,758.24601100,1531357199999,4821035.50249788,4138,443.08763000,2817514.92474971,0
1531357200000,6360.86000000,6363.93000000,6325.00000000,6326.97000000,690.81924800,1531360799999,4385118.64660778,3855,296.61825800,1882654.18529019,0
1531360800000,6325.10000000,6345.79000000,6300.18000000,6320.36000000,1154.56800000,1531364399999,7294869.74503614,5768,625.05366800,3949510.48481941,0
1531364400000,6320.41000000,6344.42000000,6319.73000000,6343.80000000,973.13946800,1531367999999,6161463.69176217,3380,519.58310600,3289617.17946577,0
1531368000000,6343.80000000,6344.44000000,6316.52000000,6325.54000000,1089.87618100,1531371599999,6901422.80921345,3928,546.42566500,3459994.72980798,0
1531371600000,6324.67000000,6330.00000000,6300.18000000,6328.97000000,777.37742200,1531375199999,4910881.52037309,4585,461.70541000,2916452.78378038,0
1531375200000,6327.99000000,6329.99000000,6181.00000000,6210.18000000,4005.59694000,1531378799999,24979473.59013245,17629,1720.71634100,10724891.40382460,0
1531378800000,6210.18000000,6221.99000000,6141.11000000,6177.99000000,2489.75442100,1531382399999,15382576.70641882,12225,1169.29575400,7227189.68880865,0
1531382400000,6176.21000000,6195.00000000,6135.00000000,6194.50000000,1792.40064900,1531385999999,11067979.28690967,7551,955.72899200,5903275.43880418,0
1531386000000,6194.97000000,6209.00000000,6173.00000000,6190.70000000,1207.67575800,1531389599999,7474389.95388036,5456,682.54465000,4224371.48255719,0
1531389600000,6185.84000000,6185.84000000,6145.01000000,6170.75000000,1395.85452900,1531393199999,8609282.12528970,6307,721.99216700,4453741.79868991,0
1531393200000,6171.55000000,6179.00000000,6136.50000000,6165.76000000,1406.96418100,1531396799999,8666797.11798566,6747,736.88471300,4540434.54884785,0
1531396800000,6165.76000000,6192.92000000,6155.00000000,6171.99000000,998.00644600,1531400399999,6164842.90346201,5906,589.10240200,3638484.16209084,0
1531400400000,6171.99000000,6181.59000000,6159.00000000,6181.02000000,1089.16086700,1531403999999,6721247.57479624,5166,586.71021200,3620635.06517523,0
1531404000000,6181.30000000,6198.36000000,6165.16000000,6174.11000000,926.57153600,1531407599999,5724214.25667343,4912,528.05471900,3262377.00587047,0
1531407600000,6174.35000000,6175.00000000,6152.00000000,6167.36000000,922.50099800,1531411199999,5686714.09969514,4759,486.97309600,3002148.24686590,0
1531411200000,6163.65000000,6193.41000000,6158.00000000,6182.18000000,1353.24581300,1531414799999,8362450.53990070,6221,697.60174200,4311390.23722630,0
1531414800000,6182.18000000,6185.00000000,6161.06000000,6177.50000000,812.57022500,1531418399999,5019571.93158771,4799,438.35925100,2708104.32539759,0
1531418400000,6176.54000000,6184.06000000,6165.10000000,6168.99000000,512.44513100,1531421999999,3164035.83891457,3556,287.23156700,1773553.64001125,0
1531422000000,6169.00000000,6177.68000000,6154.82000000,6173.98000000,1009.99791500,1531425599999,6225915.59916106,3449,504.13438200,3108217.18451212,0
1531425600000,6173.98000000,6189.59000000,6162.01000000,6166.26000000,582.48740500,1531429199999,3596668.64891430,3644,392.76661900,2425322.00986023,0
1531429200000,6166.55000000,6174.33000000,6154.82000000,6165.79000000,673.49334700,1531432799999,4148707.98566131,3813,308.17147300,1898862.77479322,0
1531432800000,6162.13000000,6166.63000000,6115.00000000,6143.93000000,1232.39501600,1531436399999,7573843.02112551,6266,603.01995100,3706572.50664450,0
1531436400000,6143.17000000,6274.44000000,6070.00000000,6250.57000000,3451.51584100,1531439999999,21282230.69150513,16925,1766.00484300,10908794.23213338,0
