1681603200000,30295.10000000,30319.04000000,30270.11000000,30277.54000000,603.52064000,1681606799999,18284318.50761380,24249,281.25504000,8520475.73898120,0
1681606800000,30277.53000000,30277.54000000,30120.00000000,30236.95000000,1595.55527000,1681610399999,48200689.35241790,43472,742.48492000,22429133.24171490,0
1681610400000,30236.96000000,30284.78000000,30224.43000000,30264.20000000,638.70251000,1681613999999,19330135.03749420,20407,328.22125000,9932932.99279430,0
1681614000000,30264.20000000,30269.33000000,30229.34000000,30249.37000000,546.48173000,1681617599999,16529181.80476110,21281,226.66023000,6855520.22150460,0
1681617600000,30249.36000000,30316.00000000,30245.82000000,30298.52000000,692.66401000,1681621199999,20974288.61740410,19543,353.76028000,10711760.45136670,0
1681621200000,30298.53000000,30340.06000000,30295.97000000,30306.32000000,894.77371000,1681624799999,27128213.76933140,22479,471.27165000,14287839.99426250,0
1681624800000,30306.32000000,30347.38000000,30302.68000000,30306.07000000,567.70244000,1681628399999,17212806.02838050,24075,274.68177000,8328465.58205510,0
1681628400000,30306.06000000,30399.40000000,30300.00000000,30344.97000000,766.15445000,1681631999999,23252281.48864840,31525,413.47832000,12548106.62380910,0
1681632000000,30344.97000000,30353.96000000,30328.01000000,30337.40000000,565.77648000,1681635599999,17165600.13094690,21369,250.34845000,7595558.20533880,0
1681635600000,30337.40000000,30337.41000000,30254.99000000,30279.34000000,1316.58369000,1681639199999,39884527.47467870,30732,594.07643000,17996534.56559800,0
1681639200000,30279.34000000,30290.16000000,30257.21000000,30290.15000000,951.24663000,1681642799999,28797980.81004470,26826,464.05067000,14048620.98941060,0
1681642800000,30290.15000000,30321.60000000,30220.40000000,30226.45000000,811.54029000,1681646399999,24561620.56156610,24797,374.33087000,11329671.09932300,0
1681646400000,30226.46000000,30277.38000000,30219.71000000,30260.00000000,1275.93186000,1681649999999,38589888.57028280,25621,647.79559000,19592417.45095870,0
1681650000000,30260.01000000,30260.01000000,30160.40000000,30249.99000000,1329.34331000,1681653599999,40181458.31013590,32741,629.08968000,19014936.23309250,0
1681653600000,30249.99000000,30320.00000000,30245.01000000,30311.83000000,1142.12351000,1681657199999,34592765.60735710,29192,669.10813000,20265236.38130370,0
1681657200000,30311.83000000,30362.00000000,30300.00000000,30332.98000000,926.17659000,1681660799999,28092167.02569830,27876,490.77319000,14886148.37526600,0
1681660800000,30332.98000000,30335.00000000,30259.69000000,30335.00000000,1148.83322000,1681664399999,34816935.80257290,25437,510.58497000,15476133.76688550,0
1681664400000,30335.00000000,30379.62000000,30300.00000000,30300.00000000,1103.25031000,1681667999999,33458859.18294880,29262,524.70615000,15914788.58821790,0
1681668000000,30300.00000000,30480.00000000,30298.87000000,30478.43000000,1285.55073000,1681671599999,39018244.80826230,29338,657.38301000,19959626.82062830,0
1681671600000,30478.43000000,30549.99000000,30281.69000000,30309.06000000,3341.81382000,1681675199999,101820485.97992560,60180,1681.57040000,51244529.23886970,0
1681675200000,30309.05000000,30407.98000000,30192.00000000,30343.04000000,2019.66236000,1681678799999,61220585.43738670,52046,1036.25419000,31414642.45789160,0
1681678800000,30343.04000000,30390.00000000,30267.31000000,30385.62000000,1088.79818000,1681682399999,33029600.68561750,32323,591.36768000,17939973.09568180,0
1681682400000,30385.61000000,30404.82000000,30300.72000000,30331.04000000,932.60749000,1681685999999,28302872.09094170,26811,502.29421000,15244823.99189140,0
1681686000000,30331.03000000,30349.65000000,30245.00000000,30304.65000000,887.19999000,1681689599999,26877419.06814770,26651,448.18883000,13577710.89675220,0
