1681171200000,29637.35000000,29990.00000000,29590.00000000,29928.86000000,5294.26591000,1681174799999,157755622.02480790,98740,3072.71522000,91586437.08560190,0
1681174800000,29928.85000000,30308.23000000,29754.49000000,30189.90000000,6186.64059000,1681178399999,185553381.25231600,113873,3692.85168000,110777203.87074250,0
1681178400000,30189.90000000,30430.00000000,29987.60000000,30083.01000000,5975.49705000,1681181999999,180524770.00668800,119273,2911.99888000,87986474.60902780,0
1681182000000,30083.01000000,30124.12000000,29936.91000000,30115.95000000,3371.78914000,1681185599999,101221947.64675260,57561,1765.64580000,53006653.24614200,0
1681185600000,30115.95000000,30169.14000000,30017.37000000,30109.01000000,2589.01549000,1681189199999,77910820.49786790,47044,1304.35830000,39252000.79534180,0
1681189200000,30109.01000000,30147.00000000,29800.00000000,29883.84000000,3129.55934000,1681192799999,93828302.78504970,59474,1309.11574000,39261339.15151800,0
1681192800000,29883.84000000,30087.77000000,29878.92000000,30035.78000000,2240.51763000,1681196399999,67236796.81952420,52149,1253.15299000,37603477.04526950,0
1681196400000,30035.78000000,30160.53000000,30035.59000000,30106.89000000,2326.41426000,1681199999999,70014862.78768170,48454,1206.88824000,36321777.10431420,0
1681200000000,30106.90000000,30147.38000000,30045.00000000,30093.90000000,1768.51789000,1681203599999,53221470.56330560,39294,806.42076000,24266311.69191340,0
1681203600000,30093.91000000,30094.01000000,29974.00000000,30052.38000000,2431.64909000,1681207199999,73053090.55073130,40612,1117.56979000,33575628.61702050,0
1681207200000,30052.38000000,30144.83000000,30008.95000000,30122.50000000,1616.24995000,1681210799999,48620918.83479450,37305,848.44472000,25525056.23525300,0
1681210800000,30122.49000000,30123.91000000,30050.69000000,30055.15000000,1523.07053000,1681214399999,45835364.50520990,34711,680.79413000,20488041.41538200,0
1681214400000,30055.14000000,30200.58000000,30010.41000000,30098.92000000,2656.40136000,1681217999999,79937645.73433630,47752,1307.96778000,39364334.30557910,0
1681218000000,30098.92000000,30250.00000000,30073.01000000,30246.31000000,2539.94803000,1681221599999,76589010.08577890,49545,1354.70432000,40851656.27052850,0
1681221600000,30246.30000000,30280.00000000,29975.00000000,30060.39000000,3782.23203000,1681225199999,113931891.88298280,71036,1655.95993000,49888375.30207110,0
1681225200000,30060.39000000,30246.26000000,30044.65000000,30194.22000000,2335.58014000,1681228799999,70459476.86984300,52512,1252.22241000,37771062.74270710,0
1681228800000,30194.23000000,30263.71000000,30100.00000000,30127.98000000,2242.17770000,1681232399999,67665935.59637270,45856,1120.54304000,33817927.15001700,0
1681232400000,30127.98000000,30220.00000000,30040.00000000,30207.57000000,2000.04550000,1681235999999,60258946.03582790,40733,938.21326000,28271872.44622470,0
1681236000000,30207.57000000,30240.00000000,30151.68000000,30230.24000000,1449.53334000,1681239599999,43780322.67780120,30265,734.41884000,22182383.17601370,0
1681239600000,30230.23000000,30550.00000000,30105.01000000,30130.02000000,5278.40357000,1681243199999,160052642.41773900,106579,2763.41212000,83815326.78620840,0
1681243200000,30130.02000000,30173.76000000,29940.00000000,30164.23000000,3409.71736000,1681246799999,102553960.95595940,63405,1646.14378000,49521584.65726090,0
1681246800000,30164.24000000,30239.59000000,30130.23000000,30189.52000000,1346.11191000,1681250399999,40628968.64765330,31696,710.66711000,21449234.30661220,0
1681250400000,30189.51000000,30272.28000000,30147.64000000,30263.75000000,1230.14185000,1681253999999,37165018.11632560,26282,719.21355000,21730100.40207540,0
1681254000000,30263.74000000,30274.19000000,30160.00000000,30200.42000000,1266.59655000,1681257599999,38277110.78676820,26307,593.50479000,17936363.88063210,0
