1681257600000,30200.43000000,30350.07000000,30193.67000000,30224.78000000,1803.85075000,1681261199999,54583725.34376680,42860,987.64274000,29881530.98409210,0
1681261200000,30224.77000000,30292.44000000,30122.72000000,30170.80000000,1688.66019000,1681264799999,50998274.64275550,39025,812.11553000,24527667.99118600,0
1681264800000,30170.80000000,30170.80000000,29811.82000000,29916.16000000,5625.33965000,1681268399999,168540598.83834200,100963,2518.73553000,75456589.25544200,0
1681268400000,29916.16000000,29989.19000000,29858.19000000,29922.04000000,2277.12119000,1681271999999,68146359.65586730,46435,1202.31434000,35981515.53244120,0
1681272000000,29922.04000000,29995.35000000,29887.03000000,29978.58000000,1539.74214000,1681275599999,46108397.54976870,29237,819.31869000,24535030.69843320,0
1681275600000,29978.59000000,29999.23000000,29891.46000000,29920.00000000,1493.93185000,1681279199999,44727355.21708940,30015,685.80936000,20532732.96936260,0
1681279200000,29919.99000000,29956.81000000,29850.00000000,29932.89000000,1412.52475000,1681282799999,42246348.20189690,33554,732.40167000,21905691.83143230,0
1681282800000,29932.88000000,30070.42000000,29924.26000000,29987.00000000,1623.28548000,1681286399999,48689872.87226510,39182,946.74745000,28396901.35290850,0
1681286400000,29986.99000000,30050.47000000,29913.71000000,29914.97000000,1468.79021000,1681289999999,44045481.36752340,32303,739.69951000,22184206.91306880,0
1681290000000,29914.97000000,30007.83000000,29895.98000000,30007.68000000,1502.65731000,1681293599999,45014425.85550880,32271,803.48497000,24071484.29060740,0
1681293600000,30007.67000000,30029.37000000,29978.13000000,29996.27000000,1155.85308000,1681297199999,34679177.96476670,28844,624.07934000,18724532.40352200,0
1681297200000,29996.28000000,30019.65000000,29930.95000000,30016.30000000,1457.13626000,1681300799999,43685743.24753620,29564,779.08483000,23358421.49668530,0
1681300800000,30016.31000000,30486.00000000,29919.00000000,30157.09000000,8712.89441000,1681304399999,263630041.83114900,142431,4490.00101000,135869070.91993960,0
1681304400000,30157.09000000,30340.22000000,29964.00000000,30053.73000000,5716.56104000,1681307999999,172296320.86664900,96558,2848.66110000,85868995.37478600,0
1681308000000,30053.72000000,30263.40000000,30016.95000000,30024.69000000,4889.98136000,1681311599999,147365800.49146610,83898,2502.23066000,75410711.70558800,0
1681311600000,30024.69000000,30066.96000000,29637.40000000,29964.02000000,6989.08971000,1681315199999,208837621.32687090,121421,3428.36856000,102451830.80302880,0
1681315200000,29964.03000000,30034.99000000,29915.01000000,29939.02000000,1972.26301000,1681318799999,59104125.94761430,44798,1013.80571000,30380894.26636070,0
1681318800000,29939.02000000,30091.01000000,29907.14000000,30023.92000000,2066.73716000,1681322399999,62018255.04626390,44733,1061.97325000,31866432.11577430,0
1681322400000,30023.93000000,30057.52000000,29845.01000000,29917.26000000,2390.44208000,1681325999999,71627520.51638280,58331,1160.48633000,34773175.28383820,0
1681326000000,29917.27000000,29949.76000000,29760.13000000,29798.59000000,2099.05832000,1681329599999,62690087.13445080,46671,934.98313000,27926575.50416390,0
1681329600000,29798.59000000,29955.00000000,29775.68000000,29947.47000000,1063.07245000,1681333199999,31748375.68631140,30898,550.27160000,16435854.26441220,0
1681333200000,29947.48000000,29979.74000000,29900.77000000,29944.12000000,759.66879000,1681336799999,22745409.70653380,27289,381.62233000,11425761.62237740,0
1681336800000,29944.12000000,29975.41000000,29796.21000000,29841.35000000,1285.14991000,1681340399999,38418398.62794810,36575,588.83167000,17604931.92607160,0
1681340400000,29841.35000000,29939.61000000,29823.45000000,29888.07000000,1055.67341000,1681343999999,31549888.20280340,28700,523.71645000,15653191.06704490,0
