1663027200000,22395.44000000,22445.86000000,22106.66000000,22213.49000000,16484.36275000,1663030799999,366857258.58633100,343071,7927.79841000,176441688.12395590,0
1663030800000,22213.49000000,22289.89000000,22151.63000000,22237.35000000,12672.27484000,1663034399999,281688726.03901190,245427,6393.68337000,142133500.51497630,0
1663034400000,22236.79000000,22280.00000000,22054.07000000,22255.89000000,14552.62775000,1663037999999,322702276.76021530,265868,7165.36353000,158906012.80542740,0
1663038000000,22255.86000000,22284.80000000,22156.98000000,22231.58000000,10758.39928000,1663041599999,239018791.85049160,198021,5440.59388000,120876605.45904980,0
1663041600000,22232.72000000,22367.82000000,22178.57000000,22285.56000000,10764.16219000,1663045199999,239764769.78447480,227584,5546.33567000,123543602.47094840,0
1663045200000,22285.00000000,22434.77000000,22264.97000000,22385.33000000,13169.03854000,1663048799999,294424199.15860380,235745,6669.91799000,149119900.68748650,0
1663048800000,22384.52000000,22627.00000000,22247.51000000,22317.85000000,18473.02033000,1663052399999,413664903.97728990,325194,9607.03358000,215181087.17204540,0
1663052400000,22318.06000000,22441.06000000,22257.58000000,22273.09000000,20317.15067000,1663055999999,453856360.87937910,326514,10560.34182000,235913239.54928910,0
1663056000000,22271.59000000,22310.00000000,22182.09000000,22230.41000000,14323.10701000,1663059599999,318546507.95858780,276210,7805.69058000,173583185.95847310,0
1663059600000,22230.48000000,22433.92000000,22227.05000000,22381.47000000,15723.12056000,1663063199999,351301036.49547900,298052,8545.24637000,190931777.82423490,0
1663063200000,22382.38000000,22596.00000000,22347.82000000,22531.18000000,15005.77133000,1663066799999,337218795.05285440,306188,7837.91720000,176157257.31499550,0
1663066800000,22531.96000000,22713.92000000,22482.00000000,22522.74000000,20330.90707000,1663070399999,459177207.69381470,383125,10106.34109000,228277638.01183430,0
1663070400000,22522.74000000,22799.00000000,21342.00000000,21398.32000000,43966.86446000,1663073999999,966814726.98389780,801980,21541.54548000,473990223.28748650,0
1663074000000,21398.32000000,21520.00000000,21171.22000000,21193.61000000,31232.82803000,1663077599999,667409757.55219050,607357,15390.53790000,328928594.67719330,0
1663077600000,21196.25000000,21263.27000000,20850.76000000,21010.72000000,29149.42312000,1663081199999,615311740.00602940,530531,14506.52391000,306267580.87158920,0
1663081200000,21009.74000000,21069.30000000,20751.00000000,20829.77000000,22904.39128000,1663084799999,479162035.86961410,385472,11641.97754000,243600372.06054310,0
1663084800000,20829.77000000,20905.90000000,20678.07000000,20766.79000000,20307.33549000,1663088399999,422167016.18168650,318479,9903.47285000,205904629.62388740,0
1663088400000,20766.79000000,20927.73000000,20723.37000000,20764.12000000,15811.75402000,1663091999999,328994499.26906550,286142,7975.14397000,165939064.61740080,0
1663092000000,20763.31000000,20790.41000000,20230.78000000,20246.35000000,20731.66373000,1663095599999,426610809.24217040,379505,9735.63882000,200357429.57732300,0
1663095600000,20248.52000000,20346.00000000,20030.00000000,20283.58000000,19949.15336000,1663099199999,403323972.93451610,412794,10003.15011000,202269801.94531040,0
1663099200000,20284.89000000,20421.15000000,20224.10000000,20233.14000000,11263.72471000,1663102799999,228638155.46095160,227724,5945.91982000,120705814.70243090,0
1663102800000,20233.14000000,20281.00000000,19860.00000000,20131.58000000,12954.19030000,1663106399999,260576006.83785120,293307,6227.82549000,125339764.24738340,0
1663106400000,20131.58000000,20265.00000000,20068.85000000,20224.16000000,12591.56219000,1663109999999,253982637.55460810,249628,6443.62909000,129988461.39084910,0
1663110000000,20224.16000000,20245.00000000,20098.87000000,20173.57000000,8478.20032000,1663113599999,171027082.26700620,202951,4222.91400000,85186761.79909320,0
