1674345600000,22783.35000000,22979.88000000,22700.06000000,22877.48000000,12868.12927000,1674349199999,294172516.23762420,343767,6596.78961000,150813691.45278780,0
1674349200000,22877.48000000,22891.76000000,22688.78000000,22792.13000000,11684.54279000,1674352799999,266409687.94674380,316264,5840.50477000,133169780.76796140,0
1674352800000,22793.12000000,22833.26000000,22602.55000000,22707.64000000,10857.25989000,1674356399999,246890889.80709830,289476,5219.61026000,118696981.78036860,0
1674356400000,22706.90000000,22774.18000000,22668.48000000,22758.30000000,7683.73374000,1674359999999,174693297.15883410,227468,3843.48806000,87384501.06603370,0
1674360000000,22759.08000000,22868.98000000,22716.72000000,22847.79000000,7994.62992000,1674363599999,182277245.76819910,238428,4097.95975000,93434209.08974530,0
1674363600000,22847.31000000,22895.40000000,22832.56000000,22878.37000000,7323.69528000,1674367199999,167480207.53903930,214676,3622.25308000,82836226.99334940,0
1674367200000,22878.37000000,22967.33000000,22862.70000000,22919.67000000,7256.88643000,1674370799999,166323002.11563400,208254,3633.67068000,83280699.42376920,0
1674370800000,22920.74000000,22959.68000000,22875.00000000,22895.20000000,7193.47495000,1674374399999,164827142.82025050,182783,3462.83343000,79346978.31000600,0
1674374400000,22895.49000000,22921.24000000,22809.56000000,22909.76000000,7787.97022000,1674377999999,178162364.96698630,221814,3887.24389000,88929652.46926200,0
1674378000000,22908.20000000,22938.12000000,22833.59000000,22856.68000000,7865.51774000,1674381599999,180068995.80993420,217652,3844.70250000,88018404.50420630,0
1674381600000,22857.48000000,22903.51000000,22839.09000000,22872.97000000,6492.94012000,1674385199999,148496953.10365570,195182,3260.54578000,74572808.40312170,0
1674385200000,22872.21000000,22884.91000000,22726.02000000,22783.61000000,9593.06382000,1674388799999,218712814.82041950,246789,4806.81659000,109585421.54853200,0
1674388800000,22784.74000000,22871.68000000,22700.01000000,22869.56000000,9487.18959000,1674392399999,216110184.76871220,281504,4853.63003000,110570933.11017770,0
1674392400000,22869.56000000,22930.01000000,22846.82000000,22897.79000000,8297.36390000,1674395999999,189964444.81518960,250248,4128.81559000,94529634.90738590,0
1674396000000,22897.79000000,23040.00000000,22866.81000000,22990.41000000,10098.35919000,1674399599999,231466351.40788030,276085,5136.85383000,117754308.53900850,0
1674399600000,22990.42000000,23078.71000000,22645.59000000,22794.51000000,21388.11528000,1674403199999,489031556.33366250,497325,10376.35743000,237276015.85645110,0
1674403200000,22794.63000000,22862.27000000,22689.72000000,22819.28000000,11885.65438000,1674406799999,270956104.40031540,317155,5843.49024000,133224992.71236930,0
1674406800000,22819.38000000,22959.71000000,22780.50000000,22922.34000000,12654.34323000,1674410399999,289657496.10694620,313709,6514.00800000,149112927.65624110,0
1674410400000,22922.34000000,22936.84000000,22818.84000000,22838.00000000,7618.14644000,1674413999999,174285185.15485460,220446,3570.53591000,81688476.46285550,0
1674414000000,22838.00000000,22856.75000000,22687.13000000,22722.15000000,8947.37796000,1674417599999,203941714.46608210,240088,4306.66239000,98173623.75018630,0
1674417600000,22721.88000000,22736.00000000,22292.37000000,22459.46000000,24946.44483000,1674421199999,562053622.01287220,522583,12135.22046000,273420602.48940260,0
1674421200000,22459.46000000,22639.71000000,22317.00000000,22585.37000000,16210.74983000,1674424799999,364231321.26161030,364665,8124.72003000,182567647.39793820,0
1674424800000,22585.38000000,22698.00000000,22536.26000000,22676.48000000,6896.86211000,1674428399999,155841762.80962000,182300,3479.80644000,78635287.02374880,0
1674428400000,22676.48000000,22773.89000000,22641.11000000,22707.88000000,10545.30195000,1674431999999,239497459.91195600,235166,5256.39788000,119386015.00766210,0
